    exampleTrace1    exampleTrace1    exampleTrace2    exampleTrace2    exampleTrace3    exampleTrace3
          749.355          -13.391          141.682         1180.619          219.773         1058.005
          563.355           -0.951          197.182          926.349          172.773         1132.584
          631.355           15.529          249.682          875.999          255.273         1073.534
          724.755          -63.947          147.682         1244.779          212.773         1136.485
          515.055           18.111          168.182         1079.409          286.773         1039.124
          735.755          -57.487          210.182          989.529          183.273         1170.114
          600.355          -16.131          149.182         1206.569          110.273         1110.334
          480.055           63.311          290.682         1154.759          262.273         1227.054
          724.055          -87.849          354.182         1208.869          139.273         1236.774
          671.055           29.271          168.682         1046.339          257.773         1036.185
          543.755           62.393          250.682         1180.859          303.273          985.815
          628.355          -48.051           97.682         1182.779          198.273         1085.514
          600.055           -6.089          208.682         1008.739          130.773         1133.965
          765.755          -18.687           90.182          964.829          243.273          819.215
          719.755           36.753           95.182         1016.629          895.273           21.935
          563.755           26.593           76.182         1059.289         1135.773          -22.235
          817.755         -116.267           74.182         1168.069         1020.773           54.865
          687.055          -11.269          228.682          922.939          821.273           24.295
          580.755           -3.087          212.682          944.679          836.273           27.195
          544.055           38.051          162.182          730.249          230.646         1165.361
          512.355           43.489          129.182          875.869          130.773         1171.465
          575.755          -39.087          132.182          922.949          177.773         1119.384
          752.355          -34.411          799.182          230.569          272.773         1223.584
          725.055          -28.589          779.682          278.799          307.773         1226.685
          849.355          -37.991          938.682          168.539          171.773         1029.725
          686.355            8.429          894.682          207.699          208.273         1364.614
          776.355           -6.771         1000.182          133.429          145.773         1217.864
          737.355           40.289          731.682          140.019          301.773          965.525
          725.355          -78.631          854.182          110.369          234.773         1416.405
          505.055           31.211          944.682          143.199          178.273         1200.314
          799.355          -43.991          747.182          115.349          330.773         1086.965
          614.055          -40.749          938.182          107.609          184.773         1156.405
          758.055            3.791          759.682          217.599          180.773         1068.465
          612.755           40.433          940.182          110.829          308.273         1311.114
          624.755            1.753          949.182          209.569          215.273         1357.634
          736.755          -73.627          795.182           82.129          295.773         1005.865
          704.355           11.609          828.682          144.939           50.273         1202.235
          811.055          -91.029          869.182          251.269          236.773         1365.624
          803.355          -66.251          769.682          156.199           51.273          951.095
          678.055          -45.709          804.682          102.799          161.773         1142.124
          584.055            1.451          945.182           33.129          230.773         1038.965
          686.355          -16.871          605.182           93.729          352.773         1137.884
          604.355           17.909          918.182          208.409          236.773         1280.124
          655.355           35.769          699.682          155.999          256.773         1265.824
          657.055           15.931          739.682          165.899          247.773         1240.584
          940.355            5.869          844.182          167.769          278.273         1284.314
          973.755          -12.407          964.682           58.899          230.646         1165.361
         1058.354          -95.651          696.182          103.489          875.273          188.235
          997.755           -9.767          757.182          330.449          994.773          309.005
          704.055           75.651          816.182           91.189         1082.273          222.255
          978.055           -5.709          718.182          186.909          615.773          290.065
         1007.054           19.231          801.182          136.289          869.273          313.075
          920.355          -16.631          675.182          158.429         1001.273          257.095
          905.355          -51.231          920.682          162.559          996.773          139.225
         1282.354          -78.611          543.682          255.839          719.773          126.005
          921.755          -41.527          648.182          208.709          823.273          379.515
         1055.054          -27.789          156.182          732.089          839.273          580.275
          889.755          -47.047          255.182         1061.729          944.773          151.505
          959.355            5.909          235.682          961.959          191.273         1104.995
         1144.054          -58.249          116.182         1297.189          198.273         1382.514
         1066.755          -67.427          200.682         1147.359          216.273         1087.495
         1055.054           -4.789          205.682          974.159          210.273         1350.834
          949.755            0.553           43.182          898.909          277.273         1059.955
         1034.054         -103.549           69.182         1132.769         1132.773          326.685
          888.355          -14.851           64.182          720.469          961.773          260.625
          979.055           22.851          260.682          874.959         1127.773          299.385
          700.055           18.511          124.682         1012.999          287.273          935.055
          677.755          -35.667          266.182          658.689          201.773         1108.524
          599.055           49.651           40.182          938.329          305.773         1073.965
          739.755           23.653          248.182          759.209          356.273         1117.895
          680.755           -9.087          132.682         1145.879          159.273         1227.975
          781.055          -24.829          183.682          868.239          328.273          990.315
          658.355           82.349           14.182          888.469          604.273          910.675
          564.755          -30.847          652.182          224.149          214.773         1254.705
          819.755          -51.847          693.182          293.909          127.273         1409.455
          672.755          -33.667          909.682          -43.901          402.773         1071.884
          615.355          -11.631          871.682          -26.081          927.273          275.455
          670.055            8.411          929.682          -21.201          860.273          198.335
          627.355          -54.611          852.182          -55.351          950.773          307.165
          662.355          -24.211          663.682          -28.461          809.773          353.905
          698.355          -32.851          332.182           -1.051          882.273          163.255
          876.055          -70.129          490.182          -24.671          867.773          305.285
          719.755          -37.847          377.682           40.079          915.273          142.135
          694.055           -6.249          591.182           32.689         1063.773          397.345
         1261.354          -77.071          466.182           -9.811          885.773          652.765
         1075.054          -62.589          384.182          -20.331          706.773          286.825
          763.755          -61.707          421.182           89.989          967.273          529.355
          573.755            1.893          503.182           92.509          168.773         1035.645
          580.055          -21.989          603.682           22.439           86.273         1190.695
          721.355            3.929          416.182           -7.811          176.773          975.025
          623.355          -52.351          623.682           -1.361              NaN              NaN
          691.055          -29.229          451.182          -24.711              NaN              NaN
          734.055          -32.249          387.182           48.249              NaN              NaN
          570.055          -22.889          476.682           34.219              NaN              NaN
          687.055           12.731          491.682           25.119              NaN              NaN
          504.755          -71.747          510.682          206.459              NaN              NaN
          594.755           87.253          476.682           42.219              NaN              NaN
          639.055          -32.549          454.682            9.299              NaN              NaN
          562.755           31.133          455.182           19.229              NaN              NaN
          746.755          -67.327          493.182            7.909              NaN              NaN
          732.355          -72.611          594.182           -9.231              NaN              NaN
          711.755          -50.427          532.682           48.379              NaN              NaN
         1183.755           -4.207          491.682          -40.881              NaN              NaN
         1010.355           -9.931          337.182           22.249              NaN              NaN
         1141.054          -37.829          356.182           -4.911              NaN              NaN
         1008.755          -22.707          412.182          -27.751              NaN              NaN
          811.355          -43.071          518.182          -22.591              NaN              NaN
          572.755           33.333          585.182           -2.471              NaN              NaN
          659.055          -20.749          417.682           18.979              NaN              NaN
          656.755          -47.427          597.682           44.279              NaN              NaN
          662.355           60.489          523.682           49.639              NaN              NaN
          703.755          -17.607          564.182          -53.031              NaN              NaN
          756.055           -6.629          493.182          -13.091              NaN              NaN
          702.355          -24.811          416.182          -15.311              NaN              NaN
          738.755           -4.907          570.182           18.629              NaN              NaN
          624.055            4.851          413.682           70.039              NaN              NaN
          640.755          -88.487          663.182            1.609              NaN              NaN
          726.355           -6.471          622.682          -26.721              NaN              NaN
          668.755           -1.107          458.182          -10.191              NaN              NaN
          775.355           24.669          510.682           22.959              NaN              NaN
          726.355          -36.171          572.682          -27.221              NaN              NaN
          687.755          -12.367          367.682           10.979              NaN              NaN
          583.355           -1.151          541.182          115.189              NaN              NaN
          578.755          -19.507          658.682            8.739              NaN              NaN
          729.755          -54.947          492.182          -39.951              NaN              NaN
          663.055          -42.909          433.682           -0.761              NaN              NaN
          817.355          -71.211          578.682           32.939              NaN              NaN
         1087.354          -85.711          355.682          -15.341              NaN              NaN
         1043.755          -23.907          545.682          -21.941              NaN              NaN
         1121.755          -49.127          664.682            4.399              NaN              NaN
         1054.755          -36.147          499.682          -77.501              NaN              NaN
          904.755           -9.147          528.182           55.009              NaN              NaN
         1071.054         -107.429          546.182           61.489              NaN              NaN
          834.055          -70.549          430.682           25.659              NaN              NaN
         1089.354          -53.991          425.682          -34.141              NaN              NaN
         1017.355          -66.511          474.182           53.069              NaN              NaN
          939.755          -16.347          485.682          -53.541              NaN              NaN
          832.355           13.689          513.182            4.609              NaN              NaN
          871.355           53.229          377.682          -41.921              NaN              NaN
          992.055          -32.969          536.682           13.319              NaN              NaN
          732.355           -1.611          416.682            9.619              NaN              NaN
          612.055          -45.169          618.682          -74.161              NaN              NaN
          986.355          -36.571          435.182          -38.471              NaN              NaN
          952.755          -40.867          616.682           60.119              NaN              NaN
         1099.054          -11.349          469.182            2.269              NaN              NaN
          834.055          103.151          595.682          -23.441              NaN              NaN
          970.355          -73.331          438.682           -1.961              NaN              NaN
          892.355          -65.011          523.182          -61.291              NaN              NaN
          999.755          -53.747          368.182           -4.091              NaN              NaN
         1179.354         -103.891          617.682          -45.521              NaN              NaN
          817.055            6.131          521.682           -0.581              NaN              NaN
          561.055          -53.629          596.682          -37.081              NaN              NaN
          709.755          -16.447          367.682          -11.521              NaN              NaN
          740.755          -18.487          797.182          -43.151              NaN              NaN
          703.055          -30.909          415.682           98.259              NaN              NaN
          661.755          -15.127          511.182           -9.611              NaN              NaN
          634.755          -21.947          520.682           40.559              NaN              NaN
          890.055          -33.689          332.182           32.949              NaN              NaN
          982.755           -3.667          501.182          -43.211              NaN              NaN
          875.755          -49.687          454.182          -54.131              NaN              NaN
         1017.054           -6.469          374.682           84.999              NaN              NaN
         1001.355          -51.271          417.182           12.549              NaN              NaN
         1059.054           44.251          496.182          -30.511              NaN              NaN
         1191.354          -87.871          600.682          -82.141              NaN              NaN
         1031.354          -52.871          360.182          -30.471              NaN              NaN
         1173.354          -58.351          449.682          -16.001              NaN              NaN
          807.355          -36.811          607.182          -68.051              NaN              NaN
          838.755          -45.507          467.682           10.979              NaN              NaN
          614.055           12.251          307.182           31.449              NaN              NaN
          613.055          -11.309              NaN              NaN              NaN              NaN
          622.355          -42.211              NaN              NaN              NaN              NaN
          464.755           51.453              NaN              NaN              NaN              NaN
          603.755          -37.007              NaN              NaN              NaN              NaN
          673.355          -88.751              NaN              NaN              NaN              NaN
          716.055          -42.329              NaN              NaN              NaN              NaN
          672.355           21.389              NaN              NaN              NaN              NaN
          625.355          -84.631              NaN              NaN              NaN              NaN
          593.055          -29.509              NaN              NaN              NaN              NaN
          620.055           49.411              NaN              NaN              NaN              NaN
          760.355          -42.531              NaN              NaN              NaN              NaN
          759.055           42.251              NaN              NaN              NaN              NaN
          702.355          -61.411              NaN              NaN              NaN              NaN
